Group,Intent,Question,Answer,Language,Tags,Source,Use Logs?
Symptoms,ask_nose_symptoms,Does my nose run because I wear a mask too long?,"Wearing a mask can increase humidity around the nose, triggering a runny nose in some people.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can seasonal changes cause nose itching?,"Yes, transitions between hot/cold or dry/humid seasons often trigger allergies.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why is my nose congested after returning home from outdoors?,You may be reacting to indoor allergens stirred up by clothing or footwear.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose itch when I cook?,"Spices, heat, and airborne particles can stimulate nasal nerves and cause a reflexive itch.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose get stuffy after naps?,"Short rests can increase blood flow to nasal passages, leading to mild congestion.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose block up when I wear a hoodie?,"Some hoodies trap heat and airborne irritants, possibly triggering mild nasal blockage.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can an old mattress worsen my nose allergies?,Old mattresses often hold dust mites and allergens that can cause sneezing and congestion.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can opening windows help or worsen nasal allergies?,It can go both ways. Fresh air may dilute allergens indoors but also let pollen and pollution in.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze after coming inside from a walk?,You may carry outdoor allergens like pollen or dust indoors on your clothes or hair.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does nasal congestion get worse after cleaning the bathroom?,"Cleaning sprays, moisture, and mold spores can irritate your nasal passages.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can cold drinks trigger a runny nose?,"Yes, cold beverages may activate nerves in the roof of the mouth linked to nasal glands.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Does coffee make my nose congested?,"Caffeine can mildly dehydrate some people, thickening nasal mucus and causing mild blockage.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze more during sunset?,"Pollen counts can rise in early evening, especially in warmer climates.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why do I sneeze when I switch on the fan?,Ceiling fans can stir up dust settled on blades and circulate it through the room.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Can a dusty bookshelf cause nose irritation?,"Yes, old books and dust buildup are common triggers of allergic rhinitis.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does my nose feel raw during allergy season?,Frequent wiping and inflammation during allergy flare-ups can damage nasal tissue.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why does nasal spray stop working sometimes?,Overuse of decongestant sprays can cause rebound congestion. Rotate or consult a doctor.,en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptoms,ask_nose_symptoms,Why is my nose worse at school than at home?,"School environments may have mold, dust, or AC allergens that differ from your home.",en,"nose, congestion, sneezing, environment, allergies","MedlinePlus, Mayo Clinic, WebMD, CDC, ACAAI, WAO",no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 0 mean?,"No symptoms at all. Eyes feel completely normal, no redness, tearing, or itchiness.",en,"eye, score_0",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 1 mean?,Very mild symptoms. Slight irritation but no redness or tearing.,en,"eye, score_1",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 2 mean?,"Mild itchiness and occasional redness or watering, but does not interfere with life.",en,"eye, score_2",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 3 mean?,"Itchy eyes more frequently, with mild redness and light tearing.",en,"eye, score_3",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 4 mean?,Noticeable redness and tearing. Itchy eyes start to feel distracting.,en,"eye, score_4",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 5 mean?,Moderate symptoms with persistent itching and frequent tearing.,en,"eye, score_5",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 6 mean?,Constant discomfort. Redness and tearing often require eye drops.,en,"eye, score_6",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 7 mean?,"Severe itchiness and redness, hard to focus without relief.",en,"eye, score_7",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 8 mean?,"Very severe tearing, itchiness, and redness. Impacts daily tasks.",en,"eye, score_8",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 9 mean?,Extreme redness and blurred vision from constant tearing and itchiness.,en,"eye, score_9",eye_scoring.docx,no
Symptom Severity Guide,ask_eye_symptoms,What does an eye allergy score of 10 mean?,"Debilitating symptoms. Eyes always itchy, red, and tearing. Medical attention needed.",en,"eye, score_10",eye_scoring.docx,no
Symptoms,ask_eye_symptoms,Why do my eyes itch more at night?,"Nighttime itchiness is often due to indoor allergens like dust mites or mold, or dry air from AC or fans.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,What does constant redness in both eyes mean?,"It could be allergic conjunctivitis, especially if it's paired with itching and tearing.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can pollen make my eyes red even indoors?,"Yes, pollen can enter homes through windows or clothes and trigger eye allergies.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do I tear up every time I walk past flowers?,Fragrance and pollen from flowers can act as eye irritants for allergy sufferers.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,What causes my eyes to swell and tear when cleaning?,Chemicals in cleaning products and airborne dust can trigger allergic eye reactions.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why are my eyes dry and itchy after a long day with contact lenses?,"Contacts can trap allergens and reduce eye moisture, causing irritation.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes burn during allergy season?,High pollen levels and eye inflammation during allergy season can cause a burning sensation.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why does screen time make my eyes water?,"Staring at screens reduces blinking, which dries the eyes and exacerbates allergy-related tearing.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Are red veins in the eye a sign of allergies?,"Yes, eye redness from allergies can appear as visible veins due to irritation and inflammation.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes itch when I wear makeup?,Certain makeup ingredients or particles may act as allergens and irritate the eye surface.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,What should I do if my eyes are red and itchy after biking outdoors?,Outdoor wind and allergens can irritate eyes. Rinse with clean water and use anti-allergy drops.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do I wake up with swollen eyelids?,Swollen eyelids in the morning may result from overnight exposure to allergens like dust mites.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,What does it mean if my eyes are red but not painful?,This may indicate mild allergic irritation without infection. Use lubricating or antihistamine drops.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why are my eyes itchy when I touch my cat?,"Pet dander can easily transfer to your eyes, triggering allergic reactions like redness and tearing.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes feel itchy and dry in air-conditioned rooms?,"AC lowers humidity, which can dry your eyes and worsen allergy symptoms.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes burn after being in traffic?,Air pollution and vehicle exhaust can irritate the sensitive surface of your eyes.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can my pillowcase cause eye allergies?,"Yes, unwashed pillowcases can harbor allergens like dust mites and contribute to eye irritation.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes react to scented candles?,Fragrances in candles can be irritating for allergy-prone eyes and may cause redness or watering.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Do antihistamine drops help with eye allergies?,"Yes, they reduce inflammation and block the allergic response in your eyes.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why are my eyes worse when the fan is on?,"Fans stir up dust and circulate allergens, potentially worsening eye allergies.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes feel gritty in the morning?,Dry air or accumulated allergens may lead to overnight irritation and gritty sensation.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes tear when I eat spicy food?,This is a non-allergic reaction called gustatory lacrimation and is not dangerous.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes hurt after a walk in the park?,"Tree or grass pollen, as well as wind, can trigger irritation if you're allergic.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,How do I know if it's an eye allergy or infection?,"Eye allergies usually affect both eyes and cause itchiness, while infections often cause pain, discharge, and affect one eye.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes get red in winter?,"Dry, cold air and indoor heating can irritate your eyes and worsen allergies.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can eye allergies make my vision blurry?,"Yes, excess tearing and surface irritation can blur vision temporarily.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do I get watery eyes on the bus?,"Airflow, pollutants, and exposure to other people's fragrances can cause tearing.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do I feel like there's sand in my eyes?,This gritty feeling is common in dry eye or allergic inflammation.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes hurt when I touch them during allergy season?,"Inflamed tissues are more sensitive, and touching may aggravate them.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can dust from bookshelves trigger eye allergies?,"Yes, dust mites and mold spores on books can irritate sensitive eyes.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Do eye allergies get worse as I age?,Some people develop more severe allergies over time due to cumulative exposure.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why are my eyes dry after a plane ride?,"Cabin air is very dry, and recycled air may contain allergens.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why does my eye allergy get worse with sleep deprivation?,Fatigue reduces your immune tolerance and worsens allergic sensitivity.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can I be allergic to eye drops?,"Yes, preservatives in some eye drops can irritate sensitive eyes.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why does my eye swell after rubbing it?,Rubbing can release histamine and increase swelling if you have allergies.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Can seasonal weather changes trigger eye symptoms?,"Yes, changing humidity and temperature affect airborne allergens.",en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
Symptoms,ask_eye_symptoms,Why do my eyes hurt when I sit under bright lights?,Photophobia can be worsened by allergy-induced inflammation or dryness.,en,"eye, itchiness, redness, tearing, swelling, allergy","eye_scoring.docx, Mayo Clinic, WebMD, ACAAI",no
